AnoMes,Municipio_Ibge,Municipio,Estado_Ibge,Estado,Sigla_Regiao,Regiao,VL_PagadorPF,QT_PagadorPF,VL_PagadorPJ,QT_PagadorPJ,VL_RecebedorPF,QT_RecebedorPF,VL_RecebedorPJ,QT_RecebedorPJ,QT_PES_PagadorPF,QT_PES_PagadorPJ,QT_PES_RecebedorPF,QT_PES_RecebedorPJ
202505,5005202,LADÁRIO,50,MATO GROSSO DO SUL,CO,CENTRO-OESTE,67615200.03,670514,9242370.49,13441,62432917.84,360958,11191190.31,43528,12829,330,12730,327
202601,3105004,BALDIM,31,MINAS GERAIS,SE,SUDESTE,22031498.03,147624,14984002.89,9585,20963676.98,85352,11309217.08,23924,4550,322,4423,315
202603,2608453,LAGOA DO CARRO,26,PERNAMBUCO,NE,NORDESTE,27589752.36,219973,6575159.04,8757,26737685.69,149654,7772308.56,36634,9138,281,8904,261
202502,2912004,IBIASSUCÊ,29,BAHIA,NE,NORDESTE,21687425.25,116762,3321911.03,4007,19705608.58,72243,3535815.08,16521,4740,191,4504,173
202506,3540903,PRADÓPOLIS,35,SÃO PAULO,SE,SUDESTE,66743310.27,395944,68055999.39,34585,63872165.6,218820,73548681.45,74242,11843,942,11602,886
202502,4215000,RIO NEGRINHO,42,SANTA CATARINA,SU,SUL,117214677.11,656315,180951990.09,60153,122792544.22,347439,167707596.03,125291,25709,2375,25093,2352
202508,5005103,JATEÍ,50,MATO GROSSO DO SUL,CO,CENTRO-OESTE,16508235.64,68428,3454593.83,2752,20111181.76,37344,3060444.12,5712,2358,114,2212,105
202506,2913705,INHAMBUPE,29,BAHIA,NE,NORDESTE,106439787.53,776597,44074083.23,30877,101587885.47,463250,41653015.46,120915,20053,830,20088,771
202503,3530201,MIRANTE DO PARANAPANEMA,35,SÃO PAULO,SE,SUDESTE,53154750.56,245041,122219855.32,10987,49412836.32,129754,39205990.92,35168,8979,407,8714,387
202507,3502705,APIAÍ,35,SÃO PAULO,SE,SUDESTE,88400994.12,571837,53881005.32,37995,84067851.24,293296,46788978.37,108487,15700,948,15407,904
202512,3120805,CRUZÍLIA,31,MINAS GERAIS,SE,SUDESTE,52550126.21,260733,26508359.08,25843,58185794.52,148728,23385634.18,76146,8924,969,8860,924
202505,2111805,SÍTIO NOVO,21,MARANHÃO,NE,NORDESTE,73881990.64,362954,18916283.97,9977,72971158.63,222763,16554979.6,57062,9011,246,8690,242
